"Nombre_Partida","Nombre_Programa","String_name","partida","capitulo","codigo_programa_presupuestario","area","subtitulo","item","asignacion"
"MINISTERIO DE AGRICULTURA","ÁREAS SILVESTRES PROTEGIDAS","Jardín Botánico",13,5,4,"NA",24,1,411
"MINISTERIO DE AGRICULTURA","ÁREAS SILVESTRES PROTEGIDAS","Convenio Comunidad Maú Henua",13,5,4,"NA",24,1,633
"MINISTERIO DE AGRICULTURA","ÁREAS SILVESTRES PROTEGIDAS","GASTO CORRIENTE",13,5,4,"NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","GESTIÓN FORESTAL","Convención Naciones Unidas para la desertificación",13,5,5,"NA",24,7,7
"MINISTERIO DE AGRICULTURA","GESTIÓN FORESTAL"," Bosque modelo",13,5,5,"NA",33,2,6
"MINISTERIO DE AGRICULTURA","GESTIÓN FORESTAL","Ley recuperación bosque nativo",13,5,5,"NA",24,1,370
"MINISTERIO DE AGRICULTURA","GESTIÓN FORESTAL","Fondo para investigación de la Ley Bosque Nativo",13,5,5,"NA",24,1,1
"MINISTERIO DE AGRICULTURA","GESTIÓN FORESTAL","GASTO CORRIENTE",13,5,5,"NA","NA","NA","NA"
"MINISTERIO DE AGRICULTURA","PROGRAMA ARBORIZACIÓN URBANA","GASTO CORRIENTE",13,5,6,"NA","NA","NA","NA"
"MINISTERIO DE BIENES NACIONALES","ADMINISTRACIÓN DE BIENES","GASTO CORRIENTE",14,1,4,"NA","NA","NA","NA"
"MINISTERIO DE BIENES NACIONALES","ADMINISTRACIÓN DE BIENES","Recuperación y Fortalecimiento de Rutas Patrimoniales",14,1,4,"NA",24,1,9
"MINISTERIO DE BIENES NACIONALES","ADMINISTRACIÓN DE BIENES"," Puesta en Valor del Territorio Fiscal",14,1,4,"NA",24,1,5
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","SUBSECRETARÍA DE CIENCIA, TECNOLOGÍA, CONOCIMIENTO E INNOVACIÓN","GASTO CORRIENTE",30,1,1,"NA","NA","NA","NA"
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","SUBSECRETARÍA DE CIENCIA, TECNOLOGÍA, CONOCIMIENTO E INNOVACIÓN","Programa Explora",30,1,2,"NA",24,3,163
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Fondo de Publicaciones Científicas",30,2,"NA",1,24,1,222
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Programa Regional de Investigación Científica y Tecnológica",30,2,"NA",1,24,3,166
